Age,HIV_PRIMARY,HIV_GEQ_500,HIV_350_500,HIV_200_350,HIV_100_200,HIV_050_100,HIV_000_050,HIV_ART,HIV_NEG,HIV_NEW
15,1615.71875,647.3131409,337.1803131,125.5441628,129.0677757,27.19081783,11.93891144,0,195590.7969,3900.6
16,3426.80127,1497.514526,786.1539307,304.102005,313.1969757,70.69342422,22.98563766,0,184664.4219,3900.6
17,5130.358643,2424.002075,1303.950012,522.7608795,551.7341309,134.8759689,47.21598244,0,174177.375,3900.6
18,6466.325439,3281.352783,1820.736084,754.9438782,823.7411194,215.1185989,82.95707703,0,165504.0625,3900.6
19,7334.012695,3973.590088,2281.142212,976.2905579,1106.128784,304.9753265,127.4811058,0,158941.2344,3900.6
20,7780.673584,4466.499023,2653.959839,1169.277283,1377.820984,397.2226715,177.0391617,0,153792.6563,3036
21,7901.229736,4758.192627,2920.742798,1320.219971,1616.996277,483.6405182,226.839035,0,148762.0234,3036
22,7786.925537,4873.916016,3080.297607,1423.661438,1808.519958,557.9059753,272.6925278,0,143709.1328,3036
23,7558.592285,4868.534668,3153.072998,1484.306458,1948.424744,616.6361084,311.6046753,0,138827.2344,3036
24,7299.483398,4793.398926,3164.213745,1511.107056,2039.989624,659.1568909,342.0936432,0,134348.9297,3036
25,6739.89624,4706.606201,3157.803467,1529.982605,2106.835571,678.3263245,335.7104797,0,129791.6914,2219.8
26,6193.796143,4501.959473,3081.294678,1510.613892,2119.192749,686.4676514,335.4105835,0,124854.582,2219.8
27,5692.514893,4244.032104,2957.79541,1465.498352,2091.030029,683.0680847,334.101181,0,120021.8203,2219.8
28,5235.845215,3963.75293,2802.305542,1400.983215,2029.54895,668.5342102,328.8287201,0,115269.0938,2219.8
29,4827.865234,3685.83667,2632.622681,1325.352844,1945.12677,645.5082092,319.5723419,0,110740,2219.8
30,4453.114502,3413.987427,2454.978149,1242.119629,1842.400513,615.2716064,306.4646606,0,106181.6758,1549.2
31,4093.453247,3143.653687,2269.875977,1152.284058,1723.098022,578.3258057,289.5585022,0,101306.8281,1549.2
32,3763.825684,2891.33728,2092.308838,1064.253998,1600.729797,539.2759705,271.1158371,0,96558.84375,1549.2
33,3484.647217,2675.556152,1938.002625,986.7682495,1489.85907,503.2314148,253.7584991,0,92563.42578,1549.2
34,3258.842163,2500.127563,1811.312927,922.6260071,1396.204895,472.3822784,238.6943359,0,89527.21875,1549.2
35,2929.107666,2372.569946,1724.531006,882.2522888,1334.649414,447.5132599,217.7105103,0,87391.66406,1151.6
36,2685.002441,2247.327637,1652.607361,849.2631836,1288.364136,431.1610565,207.233757,0,86068.65234,1151.6
37,2496.136475,2128.132507,1584.024597,818.5491943,1248.440674,418.2753448,200.5027161,0,85146.84766,1151.6
38,2338.945068,2012.56488,1512.431946,785.7466736,1206.850525,405.4452057,194.5437317,0,84223.36328,1151.6
39,2206.537842,1905.352539,1440.987061,751.7638245,1163.020996,392.0411682,188.5785751,0,83331.85938,1151.6
40,2078.882446,1795.964172,1363.181152,713.1568298,1110.29483,375.5189667,181.164978,0,81883.04688,919.2
41,1949.62854,1682.346863,1278.908813,670.0632019,1048.11557,355.4592743,171.9511261,0,79801.35156,919.2
42,1837.265869,1582.55188,1203.310669,630.7886353,989.6446228,336.2780609,163.0159378,0,77924.70313,919.2
43,1734.636536,1491.456726,1133.528137,594.1809387,933.6898499,317.6348724,154.1982803,0,76045.49609,919.2
44,1632.039185,1400.952942,1063.925354,557.4920349,876.4840698,298.3266144,144.9363556,0,73830.94531,919.2
45,1426.824646,1308.597534,1000.477692,528.0347595,832.3465576,284.8799896,138.5179977,0,71290.85938,680.8
46,1262.684387,1200.265686,932.0242004,495.1881409,785.7541199,269.8479614,131.6039314,0,68478.96875,680.8
47,1129.935242,1092.642731,860.2873535,460.2657166,736.9126282,254.0695648,124.3178749,0,65547.86719,680.8
48,1019.459656,992.0722046,788.4129333,424.203064,685.6967468,237.4683456,116.634758,0,62523.07813,680.8
49,926.364502,901.9999695,720.3759766,388.9911499,633.9723816,220.4862518,108.7131271,0,59531.02344,680.8
