iter,param,param_value
1,POP_NEVER_F,0
2,POP_NEVER_F,25
3,POP_NEVER_F,50
4,POP_NEVER_F,75
5,POP_NEVER_F,100
6,POP_NEVER_M,0
7,POP_NEVER_M,25
8,POP_NEVER_M,50
9,POP_NEVER_M,75
10,POP_NEVER_M,100
11,POP_UNION_F,0
12,POP_UNION_F,25
13,POP_UNION_F,50
14,POP_UNION_F,75
15,POP_UNION_F,100
16,POP_UNION_M,0
17,POP_UNION_M,25
18,POP_UNION_M,50
19,POP_UNION_M,75
20,POP_UNION_M,100
21,POP_SPLIT_F,0
22,POP_SPLIT_F,25
23,POP_SPLIT_F,50
24,POP_SPLIT_F,75
25,POP_SPLIT_F,100
26,POP_SPLIT_M,0
27,POP_SPLIT_M,25
28,POP_SPLIT_M,50
29,POP_SPLIT_M,75
30,POP_SPLIT_M,100
31,POP_PWID_F,0
32,POP_PWID_F,25
33,POP_PWID_F,50
34,POP_PWID_F,75
35,POP_PWID_F,100
36,POP_PWID_M,0
37,POP_PWID_M,25
38,POP_PWID_M,50
39,POP_PWID_M,75
40,POP_PWID_M,100
41,POP_FSW_CFSW_F,0
42,POP_FSW_CFSW_F,25
43,POP_FSW_CFSW_F,50
44,POP_FSW_CFSW_F,75
45,POP_FSW_CFSW_F,100
46,POP_FSW_CFSW_M,0
47,POP_FSW_CFSW_M,25
48,POP_FSW_CFSW_M,50
49,POP_FSW_CFSW_M,75
50,POP_FSW_CFSW_M,100
51,POP_MSM_M,0
52,POP_MSM_M,25
53,POP_MSM_M,50
54,POP_MSM_M,75
55,POP_MSM_M,100
56,POP_TGX_F,0
57,POP_TGX_F,25
58,POP_TGX_F,50
59,POP_TGX_F,75
60,POP_TGX_F,100
